INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 08:14:23,957 INFO werkzeug Thread-25 : 127.0.0.1 - - [15/Dec/2022 08:14:23] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 08:14:23,957 INFO werkzeug Thread-26 : 127.0.0.1 - - [15/Dec/2022 08:14:23] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 08:14:23,958 INFO werkzeug Thread-27 : 127.0.0.1 - - [15/Dec/2022 08:14:23] "GET /static/sld3.jpg HTTP/1.1" 200 -
2022-12-15 08:14:42,833 ERROR app Thread-28 : Errorl evel log
2022-12-15 08:14:42,844 INFO werkzeug Thread-28 : 127.0.0.1 - - [15/Dec/2022 08:14:42] "[32mPOST /login HTTP/1.1[0m" 302 -
2022-12-15 08:14:42,848 INFO werkzeug Thread-29 : 127.0.0.1 - - [15/Dec/2022 08:14:42] "GET /login HTTP/1.1" 200 -
2022-12-15 08:14:42,903 INFO werkzeug Thread-30 : 127.0.0.1 - - [15/Dec/2022 08:14:42] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
2022-12-15 08:14:42,904 INFO werkzeug Thread-31 : 127.0.0.1 - - [15/Dec/2022 08:14:42] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:15:17,526 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-12-15 08:15:31,114 INFO werkzeug Thread-1 : 127.0.0.1 - - [15/Dec/2022 08:15:31] "GET / HTTP/1.1" 200 -
2022-12-15 08:15:31,161 INFO werkzeug Thread-2 : 127.0.0.1 - - [15/Dec/2022 08:15:31] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 08:15:31,162 INFO werkzeug Thread-3 : 127.0.0.1 - - [15/Dec/2022 08:15:31] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 08:15:31,163 INFO werkzeug Thread-4 : 127.0.0.1 - - [15/Dec/2022 08:15:31] "GET /static/sld3.jpg HTTP/1.1" 200 -
2022-12-15 08:15:31,164 INFO werkzeug Thread-5 : 127.0.0.1 - - [15/Dec/2022 08:15:31] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:15:33,496 INFO werkzeug Thread-6 : 127.0.0.1 - - [15/Dec/2022 08:15:33] "GET /login HTTP/1.1" 200 -
2022-12-15 08:15:33,527 INFO werkzeug Thread-7 : 127.0.0.1 - - [15/Dec/2022 08:15:33] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
2022-12-15 08:15:33,530 INFO werkzeug Thread-8 : 127.0.0.1 - - [15/Dec/2022 08:15:33] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
